Time,site_no,Runoff
2016-1-1 2:00,8,8860
2016-1-1 8:00,8,8860
2016-1-1 14:00,8,8850
2016-1-1 20:00,8,8830
2016-1-2 2:00,8,8840
2016-1-2 8:00,8,8830
2016-1-2 14:00,8,8840
2016-1-2 20:00,8,8840
2016-1-3 2:00,8,8840
2016-1-3 8:00,8,8830
2016-1-3 14:00,8,8840
2016-1-3 20:00,8,8840
2016-1-4 2:00,8,8840
2016-1-4 8:00,8,8840
2016-1-4 14:00,8,8840
2016-1-4 20:00,8,8860
2016-1-5 2:00,8,8870
2016-1-5 8:00,8,8840
2016-1-5 14:00,8,8840
2016-1-5 20:00,8,8840
2016-1-6 2:00,8,8850
2016-1-6 8:00,8,8840
2016-1-6 14:00,8,8840
2016-1-6 20:00,8,8830
2016-1-7 2:00,8,8820
2016-1-7 8:00,8,8800
2016-1-7 14:00,8,8790
2016-1-7 20:00,8,8760
2016-1-8 2:00,8,8740
2016-1-8 8:00,8,8720
2016-1-8 14:00,8,8700
2016-1-8 20:00,8,8690
2016-1-9 2:00,8,8670
2016-1-9 8:00,8,8640
2016-1-9 14:00,8,8610
2016-1-9 20:00,8,8580
2016-1-10 2:00,8,8530
2016-1-10 8:00,8,8500
2016-1-10 14:00,8,8460
2016-1-10 20:00,8,8430
2016-1-11 2:00,8,8400
2016-1-11 8:00,8,8380
2016-1-11 14:00,8,8370
2016-1-11 20:00,8,8350
2016-1-12 2:00,8,8310
2016-1-12 8:00,8,8290
2016-1-12 14:00,8,8270
2016-1-12 20:00,8,8250
2016-1-13 2:00,8,8220
2016-1-13 8:00,8,8240
2016-1-13 14:00,8,8260
2016-1-13 20:00,8,8280
2016-1-14 2:00,8,8290
2016-1-14 8:00,8,8290
2016-1-14 14:00,8,8330
2016-1-14 20:00,8,8350
2016-1-15 2:00,8,8370
2016-1-15 8:00,8,8400
2016-1-15 14:00,8,8420
2016-1-15 20:00,8,8460
2016-1-16 2:00,8,8500
2016-1-16 8:00,8,8540
2016-1-16 14:00,8,8580
2016-1-16 20:00,8,8630
2016-1-17 2:00,8,8660
2016-1-17 8:00,8,8710
2016-1-17 14:00,8,8680
2016-1-17 20:00,8,8730
2016-1-18 2:00,8,8760
2016-1-18 8:00,8,8790
2016-1-18 14:00,8,8850
2016-1-18 20:00,8,8900
2016-1-19 2:00,8,8920
2016-1-19 8:00,8,8980
2016-1-19 14:00,8,9020
2016-1-19 20:00,8,9060
2016-1-20 2:00,8,9090
2016-1-20 8:00,8,9110
2016-1-20 14:00,8,9110
2016-1-20 20:00,8,9130
2016-1-21 2:00,8,9130
2016-1-21 8:00,8,9150
2016-1-21 14:00,8,9150
2016-1-21 20:00,8,9170
2016-1-22 2:00,8,9190
2016-1-22 8:00,8,9230
2016-1-22 14:00,8,9250
2016-1-22 20:00,8,9280
2016-1-23 2:00,8,9310
2016-1-23 8:00,8,9330
2016-1-23 14:00,8,9330
2016-1-23 20:00,8,9340
2016-1-24 2:00,8,9340
2016-1-24 8:00,8,9370
2016-1-24 14:00,8,9400
2016-1-24 20:00,8,9420
2016-1-25 2:00,8,9430
2016-1-25 8:00,8,9430
2016-1-25 14:00,8,9560
2016-1-25 20:00,8,9580
2016-1-26 2:00,8,9560
2016-1-26 8:00,8,9530
2016-1-26 14:00,8,9480
2016-1-26 20:00,8,9450
2016-1-27 2:00,8,9380
2016-1-27 8:00,8,9340
2016-1-27 14:00,8,9300
2016-1-27 20:00,8,9270
2016-1-28 2:00,8,9220
2016-1-28 8:00,8,9160
2016-1-28 14:00,8,9110
2016-1-28 20:00,8,9070
2016-1-29 2:00,8,9020
2016-1-29 8:00,8,8980
2016-1-29 14:00,8,8930
2016-1-29 20:00,8,8780
2016-1-30 2:00,8,8730
2016-1-30 8:00,8,8650
2016-1-30 14:00,8,8620
2016-1-30 20:00,8,8620
2016-1-31 2:00,8,8580
2016-1-31 8:00,8,8510
2016-1-31 14:00,8,8500
2016-1-31 20:00,8,8510
2016-2-1 2:00,8,8470
2016-2-1 8:00,8,8450
2016-2-1 14:00,8,8440
2016-2-1 20:00,8,8400
2016-2-2 2:00,8,8400
2016-2-2 8:00,8,8370
2016-2-2 14:00,8,8350
2016-2-2 20:00,8,8310
2016-2-3 2:00,8,8270
2016-2-3 8:00,8,8230
2016-2-3 14:00,8,8210
2016-2-3 20:00,8,8180
2016-2-4 2:00,8,8170
2016-2-4 8:00,8,8160
2016-2-4 14:00,8,8170
2016-2-4 20:00,8,8180
2016-2-5 2:00,8,8170
2016-2-5 8:00,8,8180
2016-2-5 14:00,8,8120
2016-2-5 20:00,8,8170
2016-2-6 2:00,8,8230
2016-2-6 8:00,8,8310
2016-2-6 14:00,8,8650
2016-2-6 20:00,8,8720
2016-2-7 2:00,8,8830
2016-2-7 8:00,8,8920
2016-2-7 14:00,8,9010
2016-2-7 20:00,8,9080
2016-2-8 2:00,8,9250
2016-2-8 8:00,8,9310
2016-2-8 14:00,8,9350
2016-2-8 20:00,8,9410
