Time,Runoff
2016-1-1 2:00,4820
2016-1-1 8:00,4850
2016-1-1 14:00,4840
2016-1-1 20:00,4850
2016-1-2 2:00,4860
2016-1-2 8:00,4880
2016-1-2 14:00,4880
2016-1-2 20:00,4830
2016-1-3 2:00,4840
2016-1-3 8:00,4870
2016-1-3 14:00,4890
2016-1-3 20:00,4900
2016-1-4 2:00,4900
2016-1-4 8:00,4900
2016-1-4 14:00,4880
2016-1-4 20:00,4860
2016-1-5 2:00,4850
2016-1-5 8:00,4850
2016-1-5 14:00,4850
2016-1-5 20:00,4820
2016-1-6 2:00,4780
2016-1-6 8:00,4830
2016-1-6 14:00,4840
2016-1-6 20:00,4820
2016-1-7 2:00,4790
2016-1-7 8:00,4810
2016-1-7 14:00,4790
2016-1-7 20:00,4760
2016-1-8 2:00,4750
2016-1-8 8:00,4740
2016-1-8 14:00,4720
2016-1-8 20:00,4730
2016-1-9 2:00,4720
2016-1-9 8:00,4760
2016-1-9 14:00,4760
2016-1-9 20:00,4730
2016-1-10 2:00,4730
2016-1-10 8:00,4740
2016-1-10 14:00,4750
2016-1-10 20:00,4740
2016-1-11 2:00,4770
2016-1-11 8:00,5060
2016-1-11 14:00,5090
2016-1-11 20:00,5060
2016-1-12 2:00,5100
2016-1-12 8:00,5190
2016-1-12 14:00,5280
2016-1-12 20:00,5370
2016-1-13 2:00,5490
2016-1-13 8:00,5590
2016-1-13 14:00,5530
2016-1-13 20:00,5460
2016-1-14 2:00,5480
2016-1-14 8:00,5560
2016-1-14 14:00,5550
2016-1-14 20:00,5490
2016-1-15 2:00,5470
2016-1-15 8:00,5450
2016-1-15 14:00,5370
2016-1-15 20:00,5320
2016-1-16 2:00,5290
2016-1-16 8:00,5310
2016-1-16 14:00,5280
2016-1-16 20:00,5270
2016-1-17 2:00,5280
2016-1-17 8:00,5330
2016-1-17 14:00,5300
2016-1-17 20:00,5250
2016-1-18 2:00,5240
2016-1-18 8:00,5260
2016-1-18 14:00,5220
2016-1-18 20:00,5160
2016-1-19 2:00,5180
2016-1-19 8:00,5230
2016-1-19 14:00,5220
2016-1-19 20:00,5180
2016-1-20 2:00,5200
2016-1-20 8:00,5260
2016-1-20 14:00,5270
2016-1-20 20:00,5270
2016-1-21 2:00,5290
2016-1-21 8:00,5340
2016-1-21 14:00,5420
2016-1-21 20:00,5410
2016-1-22 2:00,5440
2016-1-22 8:00,5470
2016-1-22 14:00,5440
2016-1-22 20:00,5400
2016-1-23 2:00,5400
2016-1-23 8:00,5410
2016-1-23 14:00,5370
2016-1-23 20:00,5310
2016-1-24 2:00,5300
2016-1-24 8:00,5320
2016-1-24 14:00,5290
2016-1-24 20:00,5280
2016-1-25 2:00,5290
2016-1-25 8:00,5350
2016-1-25 14:00,5340
2016-1-25 20:00,5300
2016-1-26 2:00,5310
2016-1-26 8:00,5330
2016-1-26 14:00,5310
2016-1-26 20:00,5310
2016-1-27 2:00,5350
2016-1-27 8:00,5410
2016-1-27 14:00,5410
2016-1-27 20:00,5350
2016-1-28 2:00,5390
2016-1-28 8:00,5410
2016-1-28 14:00,5380
2016-1-28 20:00,5370
2016-1-29 2:00,5370
2016-1-29 8:00,5380
2016-1-29 14:00,5370
2016-1-29 20:00,5340
2016-1-30 2:00,5360
2016-1-30 8:00,5130
2016-1-30 14:00,5120
2016-1-30 20:00,5120
2016-1-31 2:00,5160
2016-1-31 8:00,5180
2016-1-31 14:00,5140
2016-1-31 20:00,5100
2016-2-1 2:00,5110
2016-2-1 8:00,5100
2016-2-1 14:00,5070
2016-2-1 20:00,5030
2016-2-2 2:00,5050
2016-2-2 8:00,5070
2016-2-2 14:00,5050
2016-2-2 20:00,5010
2016-2-3 2:00,4960
2016-2-3 8:00,4940
2016-2-3 14:00,4900
2016-2-3 20:00,4870
2016-2-4 2:00,4860
2016-2-4 8:00,4890
2016-2-4 14:00,4870
2016-2-4 20:00,4860
2016-2-5 2:00,4890
2016-2-5 8:00,4940
2016-2-5 14:00,4920
2016-2-5 20:00,4910
2016-2-6 2:00,4910
2016-2-6 8:00,4950
2016-2-6 14:00,4930
2016-2-6 20:00,4940
2016-2-7 2:00,4940
2016-2-7 8:00,5000
2016-2-7 14:00,5040
2016-2-7 20:00,5000
2016-2-8 2:00,4960
2016-2-8 8:00,4960
2016-2-8 14:00,4940
2016-2-8 20:00,4920
2016-2-9 2:00,4900
2016-2-9 8:00,4940
2016-2-9 14:00,4970
2016-2-9 20:00,4960
2016-2-10 2:00,4960
2016-2-10 8:00,5010
2016-2-10 14:00,5030
2016-2-10 20:00,4990
2016-2-11 2:00,4980
2016-2-11 8:00,5000
2016-2-11 14:00,5000
2016-2-11 20:00,4970
2016-2-12 2:00,4960
2016-2-12 8:00,5000
2016-2-12 14:00,4990
2016-2-12 20:00,4960
2016-2-13 2:00,4920
2016-2-13 8:00,4950
2016-2-13 14:00,4940
2016-2-13 20:00,4910
2016-2-14 2:00,4920
2016-2-14 8:00,4950
2016-2-14 14:00,4960
2016-2-14 20:00,4940
2016-2-15 2:00,4920
2016-2-15 8:00,5030
2016-2-15 14:00,5030
2016-2-15 20:00,5020
2016-2-16 2:00,5050
2016-2-16 8:00,5070
2016-2-16 14:00,5030
2016-2-16 20:00,4990
2016-2-17 2:00,4930
2016-2-17 8:00,4890
2016-2-17 14:00,4860
2016-2-17 20:00,4840
2016-2-18 2:00,4840
2016-2-18 8:00,4850
2016-2-18 14:00,4860
2016-2-18 20:00,4850
2016-2-19 2:00,4850
2016-2-19 8:00,4910
2016-2-19 14:00,4960
2016-2-19 20:00,5000
2016-2-20 2:00,5070
2016-2-20 8:00,5120
2016-2-20 14:00,5090
2016-2-20 20:00,5030
2016-2-21 2:00,4990
2016-2-21 8:00,4980
2016-2-21 14:00,4950
2016-2-21 20:00,4900
2016-2-22 2:00,4870
2016-2-22 8:00,4850
2016-2-22 14:00,4820
2016-2-22 20:00,4820
2016-2-23 2:00,4840
2016-2-23 8:00,4840
2016-2-23 14:00,4820
2016-2-23 20:00,4820
2016-2-24 2:00,4810
2016-2-24 8:00,4820
2016-2-24 14:00,4810
2016-2-24 20:00,4830
2016-2-25 2:00,4840
2016-2-25 8:00,4880
2016-2-25 14:00,4880
2016-2-25 20:00,4910
2016-2-26 2:00,4930
2016-2-26 8:00,5000
2016-2-26 14:00,5030
2016-2-26 20:00,5040
2016-2-27 2:00,5030
2016-2-27 8:00,5040
2016-2-27 14:00,5010
2016-2-27 20:00,4980
2016-2-28 2:00,4950
2016-2-28 8:00,4920
2016-2-28 14:00,5050
2016-2-28 20:00,5030
2016-2-29 2:00,5030
2016-2-29 8:00,5040
2016-2-29 14:00,5030
2016-2-29 20:00,5040
2016-3-1 2:00,5030
2016-3-1 8:00,5030
2016-3-1 14:00,5030
2016-3-1 20:00,5020
2016-3-2 2:00,5010
2016-3-2 8:00,5050
2016-3-2 14:00,5080
2016-3-2 20:00,5060
2016-3-3 2:00,5060
2016-3-3 8:00,5090
2016-3-3 14:00,5120
2016-3-3 20:00,5100
2016-3-4 2:00,5110
2016-3-4 8:00,5150
2016-3-4 14:00,5170
2016-3-4 20:00,5150
2016-3-5 2:00,5130
2016-3-5 8:00,5140
2016-3-5 14:00,5140
2016-3-5 20:00,5120
2016-3-6 2:00,5080
2016-3-6 8:00,5080
2016-3-6 14:00,5080
2016-3-6 20:00,5080
2016-3-7 2:00,5070
2016-3-7 8:00,5090
2016-3-7 14:00,5090
2016-3-7 20:00,5080
2016-3-8 2:00,5100
2016-3-8 8:00,5120
2016-3-8 14:00,5150
2016-3-8 20:00,5160
2016-3-9 2:00,5200
2016-3-9 8:00,5250
2016-3-9 14:00,5260
2016-3-9 20:00,5270
2016-3-10 2:00,5270
2016-3-10 8:00,5290
2016-3-10 14:00,5280
2016-3-10 20:00,5280
2016-3-11 2:00,5270
2016-3-11 8:00,5300
2016-3-11 14:00,5290
2016-3-11 20:00,5290
2016-3-12 2:00,5280
2016-3-12 8:00,5320
2016-3-12 14:00,5330
2016-3-12 20:00,5370
2016-3-13 2:00,5410
2016-3-13 8:00,5460
2016-3-13 14:00,5450
2016-3-13 20:00,5460
2016-3-14 2:00,5450
2016-3-14 8:00,5260
2016-3-14 14:00,5250
2016-3-14 20:00,5240
2016-3-15 2:00,5260
2016-3-15 8:00,5300
2016-3-15 14:00,5300
2016-3-15 20:00,5320
2016-3-16 2:00,5380
2016-3-16 8:00,5440
2016-3-16 14:00,5450
2016-3-16 20:00,5440
2016-3-17 2:00,5430
2016-3-17 8:00,5420
2016-3-17 14:00,5390
2016-3-17 20:00,5370
2016-3-18 2:00,5380
2016-3-18 8:00,5400
2016-3-18 14:00,5390
2016-3-18 20:00,5410
2016-3-19 2:00,5460
2016-3-19 8:00,5730
2016-3-19 14:00,5750
2016-3-19 20:00,5780
2016-3-20 2:00,5850
2016-3-20 8:00,5910
2016-3-20 14:00,5930
2016-3-20 20:00,5960
2016-3-21 2:00,6050
2016-3-21 8:00,6120
2016-3-21 14:00,6110
2016-3-21 20:00,6120
2016-3-22 2:00,6160
2016-3-22 8:00,6180
2016-3-22 14:00,6110
2016-3-22 20:00,6030
2016-3-23 2:00,5960
2016-3-23 8:00,5880
2016-3-23 14:00,5800
2016-3-23 20:00,5710
2016-3-24 2:00,5680
2016-3-24 8:00,5670
2016-3-24 14:00,5670
2016-3-24 20:00,5700
2016-3-25 2:00,5810
2016-3-25 8:00,5940
2016-3-25 14:00,6050
2016-3-25 20:00,
2016-3-26 2:00,
2016-3-26 8:00,6490
2016-3-26 14:00,6560
2016-3-26 20:00,6620
2016-3-27 2:00,6700
2016-3-27 8:00,6750
2016-3-27 14:00,6700
2016-3-27 20:00,6670
2016-3-28 2:00,6650
2016-3-28 8:00,6650
2016-3-28 14:00,6590
2016-3-28 20:00,6590
2016-3-29 2:00,6610
2016-3-29 8:00,6630
2016-3-29 14:00,6630
2016-3-29 20:00,6690
2016-3-30 2:00,6790
2016-3-30 8:00,6870
2016-3-30 14:00,6880
2016-3-30 20:00,6890
2016-3-31 2:00,6970
2016-3-31 8:00,7060
2016-3-31 14:00,7050
2016-3-31 20:00,7020
2016-4-1 2:00,7030
2016-4-1 8:00,7000
2016-4-1 14:00,6900
2016-4-1 20:00,6890
2016-4-2 2:00,7040
2016-4-2 8:00,7200
2016-4-2 14:00,7220
2016-4-2 20:00,7300
2016-4-3 2:00,7460
2016-4-3 8:00,7580
2016-4-3 14:00,7520
2016-4-3 20:00,7510
2016-4-4 2:00,7560
2016-4-4 8:00,7580
2016-4-4 14:00,7470
2016-4-4 20:00,7370
2016-4-5 2:00,7310
2016-4-5 8:00,7260
2016-4-5 14:00,7180
2016-4-5 20:00,7150
2016-4-6 2:00,7140
2016-4-6 8:00,7140
2016-4-6 14:00,7120
2016-4-6 20:00,7120
2016-4-7 2:00,7150
2016-4-7 8:00,7190
2016-4-7 14:00,7180
2016-4-7 20:00,7190
2016-4-8 2:00,7190
2016-4-8 8:00,7200
2016-4-8 14:00,7150
2016-4-8 20:00,7130
2016-4-9 2:00,7330
2016-4-9 8:00,7570
2016-4-9 14:00,7740
2016-4-9 20:00,7930
2016-4-10 2:00,8140
2016-4-10 8:00,8310
2016-4-10 14:00,8650
2016-4-10 20:00,8780
2016-4-11 2:00,8950
2016-4-11 8:00,9090
2016-4-11 14:00,9200
2016-4-11 20:00,9290
2016-4-12 2:00,9390
2016-4-12 8:00,9420
2016-4-12 14:00,9260
2016-4-12 20:00,8710
2016-4-13 2:00,8520
2016-4-13 8:00,8310
2016-4-13 14:00,7580
2016-4-13 20:00,7420
2016-4-14 2:00,7330
2016-4-14 8:00,7230
2016-4-14 14:00,7090
2016-4-14 20:00,7030
2016-4-15 2:00,7120
2016-4-15 8:00,7250
2016-4-15 14:00,8010
2016-4-15 20:00,8190
2016-4-16 2:00,8470
2016-4-16 8:00,8720
2016-4-16 14:00,8800
2016-4-16 20:00,8900
2016-4-17 2:00,9070
2016-4-17 8:00,9180
2016-4-17 14:00,9200
2016-4-17 20:00,9290
2016-4-18 2:00,9410
2016-4-18 8:00,9410
2016-4-18 14:00,9240
2016-4-18 20:00,8920
2016-4-19 2:00,8930
2016-4-19 8:00,8910
2016-4-19 14:00,8730
2016-4-19 20:00,8570
2016-4-20 2:00,8520
2016-4-20 8:00,8490
2016-4-20 14:00,8470
2016-4-20 20:00,8510
2016-4-21 2:00,8570
2016-4-21 8:00,8550
2016-4-21 14:00,8430
2016-4-21 20:00,8320
2016-4-22 2:00,8300
2016-4-22 8:00,8280
2016-4-22 14:00,8240
2016-4-22 20:00,8430
2016-4-23 2:00,9290
2016-4-23 8:00,9880
2016-4-23 14:00,10200
2016-4-23 20:00,10500
2016-4-24 2:00,10800
2016-4-24 8:00,11000
2016-4-24 14:00,11200
2016-4-24 20:00,11300
2016-4-25 2:00,11800
2016-4-25 8:00,12100
2016-4-25 14:00,12500
2016-4-25 20:00,13200
2016-4-26 2:00,13500
2016-4-26 8:00,13600
2016-4-26 14:00,13600
2016-4-26 20:00,13700
2016-4-27 2:00,13700
2016-4-27 8:00,13700
2016-4-27 14:00,13700
2016-4-27 20:00,13800
2016-4-28 2:00,13900
2016-4-28 8:00,13900
2016-4-28 14:00,14000
2016-4-28 20:00,14200
2016-4-29 2:00,14300
2016-4-29 8:00,14400
2016-4-29 14:00,14800
2016-4-29 20:00,14900
2016-4-30 2:00,14700
2016-4-30 8:00,14000
2016-4-30 14:00,13200
2016-4-30 20:00,13200
2016-5-1 2:00,13700
2016-5-1 8:00,13500
2016-5-1 14:00,13700
2016-5-1 20:00,13300
2016-5-2 2:00,13000
2016-5-2 8:00,12600
2016-5-2 14:00,12300
2016-5-2 20:00,12100
2016-5-3 2:00,12100
2016-5-3 8:00,12100
2016-5-3 14:00,11600
2016-5-3 20:00,11500
2016-5-4 2:00,11500
2016-5-4 8:00,11300
2016-5-4 14:00,11100
2016-5-4 20:00,11300
2016-5-5 2:00,11400
2016-5-5 8:00,11400
2016-5-5 14:00,11200
2016-5-5 20:00,11100
2016-5-6 2:00,11100
2016-5-6 8:00,11000
2016-5-6 14:00,10800
2016-5-6 20:00,10600
2016-5-7 2:00,10500
2016-5-7 8:00,10400
2016-5-7 14:00,10300
2016-5-7 20:00,10200
2016-5-8 2:00,10200
2016-5-8 8:00,10100
2016-5-8 14:00,10100
2016-5-8 20:00,10100
2016-5-9 2:00,10200
2016-5-9 8:00,10200
2016-5-9 14:00,10200
2016-5-9 20:00,10300
2016-5-10 2:00,10400
2016-5-10 8:00,10400
2016-5-10 14:00,10300
2016-5-10 20:00,10200
2016-5-11 2:00,10100
2016-5-11 8:00,10000
2016-5-11 14:00,9890
2016-5-11 20:00,9800
2016-5-12 2:00,9770
2016-5-12 8:00,9720
2016-5-12 14:00,9890
2016-5-12 20:00,9840
2016-5-13 2:00,9850
2016-5-13 8:00,9870
2016-5-13 14:00,9900
2016-5-13 20:00,10000
2016-5-14 2:00,10200
2016-5-14 8:00,10300
2016-5-14 14:00,10300
2016-5-14 20:00,10200
2016-5-15 2:00,10300
2016-5-15 8:00,10200
2016-5-15 14:00,10000
2016-5-15 20:00,9970
2016-5-16 2:00,10000
2016-5-16 8:00,10000
2016-5-16 14:00,9910
2016-5-16 20:00,9800
2016-5-17 2:00,9910
2016-5-17 8:00,9930
2016-5-17 14:00,9850
